Time	Aircraft Simulation Yaw Rate
50.5	-0.001339933
50.6	-0.001159082
50.7	-0.0008097854
50.8	-0.0003901032
50.9	3.710699E-05
51	0.0004027792
51.1	0.0006288554
51.2	0.0007498945
51.3	0.0007302318
51.4	0.0005644598
51.5	0.0003804097
51.6	0.0001468127
51.7	-0.0001144049
51.8	-0.0002592953
51.9	-0.0003645613
52	-0.0004368712
52.1	-0.0003740122
52.2	-0.0002685787
52.3	-0.0001832071
52.4	-2.712673E-05
52.5	0.0001010973
52.6	0.0001536223
52.7	0.0002255935
52.8	0.0002336289
52.9	0.000175922
53	0.0001405194
53.1	6.914152E-05
53.2	-1.762369E-05
53.3	-6.210322E-05
53.4	-0.0001030775
53.5	-0.0001258779
53.6	-0.000117281
53.7	-9.315378E-05
53.8	-5.333414E-05
53.9	-2.327278E-05
54	1.668383E-05
54.1	6.115161E-05
54.2	5.539142E-05
54.3	5.717521E-05
54.4	8.282869E-05
54.5	3.199566E-05
54.6	8.641219E-06
54.7	2.775574E-05
54.8	-3.487222E-05
54.9	-4.038289E-05
55	-1.199475E-05
55.1	-5.92764E-05
55.2	-3.601009E-05
55.3	2.127669E-06
55.4	-3.102778E-05
55.5	3.673115E-06
55.6	3.261595E-05
55.7	1.002771E-06
55.8	2.683527E-05
55.9	3.511437E-05
56	5.098153E-06
56.1	1.741146E-05
56.2	9.012768E-06
56.3	-5.72255E-06
56.4	-1.664032E-06
56.5	-2.153313E-05
56.6	-4.768071E-06
56.7	-7.424695E-06
56.8	-3.411754E-05
56.9	1.265504E-05
57	-2.079961E-06
57.1	-2.214649E-05
57.2	3.05176E-05
57.3	-1.216102E-06
57.4	-1.518537E-05
57.5	3.6489E-05
57.6	-9.789125E-06
57.7	-1.472641E-05
57.8	3.322961E-05
57.9	-1.919024E-05
58	-1.244062E-05
58.1	2.867847E-05
58.2	-2.101033E-05
58.3	-4.286513E-06
58.4	2.363084E-05
58.5	-1.545735E-05
58.6	5.01418E-06
58.7	1.007008E-05
58.8	-7.960556E-06
58.9	9.904448E-06
59	-1.462935E-05
59.1	-8.920567E-07
59.2	9.524357E-06
59.3	-2.196209E-05
59.4	7.32814E-06
