Time	Aircraft Simulation Airspeed	Aircraft Simulation Pitch Angle
51.3	14.86404	11.73624
51.4	14.88328	11.51495
51.5	14.90597	11.29324
51.6	14.93132	11.06738
51.7	14.95936	10.85733
51.8	14.99047	10.65909
51.9	15.02382	10.45782
52	15.05908	10.26779
52.1	15.09667	10.09909
52.2	15.13605	9.932281
52.3	15.17665	9.772522
52.4	15.21864	9.637207
52.5	15.26192	9.511292
52.6	15.30575	9.39093
52.7	15.35001	9.292877
52.8	15.39496	9.211517
52.9	15.43979	9.135406
53	15.48418	9.077148
53.1	15.52856	9.041168
53.2	15.57218	9.010803
53.3	15.61473	8.994171
53.4	15.65642	9.001801
53.5	15.69688	9.016815
53.6	15.73561	9.041992
53.7	15.77282	9.090546
53.8	15.80828	9.147736
53.9	15.84159	9.212616
54	15.87271	9.297607
54.1	15.90182	9.392578
54.2	15.92831	9.492554
54.3	15.95218	9.609039
54.4	15.97378	9.736328
54.5	15.99248	9.865967
54.6	16.00826	10.00766
54.7	16.02156	10.15988
54.8	16.03185	10.3118
54.9	16.03912	10.4715
55	16.04382	10.64108
55.1	16.04552	10.8078
55.2	16.04423	10.97824
55.3	16.04035	11.15656
55.4	16.03365	11.32971
55.5	16.0241	11.50305
55.6	16.01213	11.6824
55.7	15.99761	11.8544
55.8	15.98048	12.02316
55.9	15.96117	12.19559
56	15.9397	12.35883
56.1	15.916	12.51544
56.2	15.89042	12.67319
56.3	15.8632	12.82077
56.4	15.83416	12.95862
56.5	15.80364	13.09488
56.6	15.77204	13.22125
56.7	15.73913	13.33521
56.8	15.70519	13.44458
56.9	15.67074	13.54498
57	15.63553	13.63043
57.1	15.59982	13.7084
57.2	15.56411	13.77911
57.3	15.52822	13.83374
57.4	15.49238	13.87836
57.5	15.457	13.91687
57.6	15.42205	13.9389
57.7	15.38764	13.94919
57.8	15.35409	13.9538
57.9	15.3216	13.9437
58	15.29015	13.92075
58.1	15.25994	13.89145
58.2	15.2313	13.85114
58.3	15.20406	13.79733
58.4	15.1784	13.73608
58.5	15.15473	13.66833
58.6	15.13279	13.58755
58.7	15.11275	13.49838
58.8	15.09483	13.40567
58.9	15.079	13.30286
