Velocity_ms,Reynolds,Mach,Alpha_deg,CL,CD,L/D,Cpmin
16,400000.0,0.04664723032069971,9.494949494949495,1.4955699199740036,0.026482085311510035,56.47477917171337,-2.761859144855549
16,400000.0,0.04664723032069971,9.8989898989899,1.5095360525113,0.02845950922370523,53.04153492759244,-2.818466799391312
16,400000.0,0.04664723032069971,10.303030303030301,1.5227984029827275,0.030600360696751015,49.76406709952312,-2.8733996389281002
16,400000.0,0.04664723032069971,10.707070707070706,1.53529306117946,0.032909998929264626,46.65126439169307,-2.927594680701161
16,400000.0,0.04664723032069971,11.11111111111111,1.546875544398771,0.03539803769461173,43.69947164145304,-2.9881032576417987
16,400000.0,0.04664723032069971,11.515151515151516,1.5573078872262853,0.03807973039537432,40.895979857448175,-3.0553195156229744
16,400000.0,0.04664723032069971,11.919191919191917,1.566252679504608,0.04097766351679804,38.222107975056986,-3.1199538865079126
16,400000.0,0.04664723032069971,12.323232323232325,1.5732756505837457,0.044124046357609775,35.65574285352036,-3.1787747023983353
16,400000.0,0.04664723032069971,12.727272727272727,1.577857072990362,0.04756362352123207,33.17360949772924,-3.230602636995411
16,400000.0,0.04664723032069971,13.131313131313128,1.579410404156459,0.05135725437767549,30.753404232665005,-3.283004274107575
16,400000.0,0.04664723032069971,13.535353535353536,1.577305335297917,0.0555863558656388,28.375764353225794,-3.350837844397594
16,400000.0,0.04664723032069971,13.939393939393938,1.5708930032438746,0.06035839974144607,26.026087669206305,-3.4106053134823173
16,400000.0,0.04664723032069971,14.343434343434346,1.5595340816619072,0.06581333080407943,23.696325085027297,-3.454849930399773
16,400000.0,0.04664723032069971,14.747474747474747,1.5426348204526403,0.07213015847556328,21.386821449661227,-3.4796066269255297
16,400000.0,0.04664723032069971,15.151515151515149,1.519699376358107,0.07953217593413897,19.10798187662536,-3.4809286206665226
16,400000.0,0.04664723032069971,15.555555555555557,1.4904060396579548,0.08828830997641207,16.88112548599181,-3.4551698028494915
16,400000.0,0.04664723032069971,15.959595959595958,1.4547081173783403,0.09870698554454696,14.737641002336387,-3.399455307090939
16,400000.0,0.04664723032069971,16.36363636363636,1.4129471334382993,0.11111785657118399,12.715752238553497,-3.312243189703957
16,400000.0,0.04664723032069971,16.767676767676768,1.365949613754003,0.12583677418471453,10.854931895734543,-3.1938895434293078
16,400000.0,0.04664723032069971,17.17171717171717,1.3150662019049546,0.14311217968001086,9.189058575205504,-3.0470695958926792
16,400000.0,0.04664723032069971,17.575757575757578,1.262113525081799,0.16305827245123644,7.740260620381843,-2.8768772006398087
16,400000.0,0.04664723032069971,17.97979797979798,1.209202759333965,0.18559090002924736,6.515420525162635,-2.6904687646175045
16,400000.0,0.04664723032069971,18.38383838383838,1.1584801499846575,0.21039070374974608,5.506327652968154,-2.496250309978137
16,400000.0,0.04664723032069971,18.78787878787879,1.1118444256064972,0.23691626742655716,4.692984731203244,-2.3027805530147
16,400000.0,0.04664723032069971,19.19191919191919,1.070719787793643,0.26447361739622693,4.048493752741774,-2.1176825399761205
16,400000.0,0.04664723032069971,19.5959595959596,1.0359408912413723,0.2923242235385775,3.543807894882379,-1.9468463652714487
16,400000.0,0.04664723032069971,20.0,1.0077614682218392,0.3197967537489468,3.151256091276562,-1.794074561882959
