Time	Aircraft Simulation Airspeed	Aircraft Simulation Position Z	Aircraft Simulation Altitude	Aircraft Simulation Net Global Force Y
18.6	0.001409648	4.864591	1.433979	0
18.7	0.001473512	4.864573	1.433986	0
18.8	0.001473575	4.864558	1.433978	0
18.9	0.001335459	4.864532	1.433984	0
19	0.001142017	4.864518	1.433981	0
19.1	0.001537542	4.864497	1.43398	0
19.2	0.001400059	4.864471	1.433983	0
19.3	0.0004984791	4.864446	1.433983	0
19.4	0.0004564402	4.864422	1.433983	0
19.5	0.0006699189	4.864403	1.433981	0
19.6	0.001159219	4.864384	1.433979	0
19.7	0.001480115	4.86436	1.433982	0
19.8	0.001397151	4.864336	1.433981	0
19.9	0.001700221	4.864339	1.433982	0
20	0.001925504	4.864389	1.433978	0
20.1	0.001571866	4.864445	1.433978	0
20.2	0.0009846388	4.864512	1.433977	0
20.3	0.001504343	4.864615	1.433978	0
20.4	0.00435323	4.864839	1.433976	0
20.5	0.02240966	4.865981	1.433987	0
20.6	0.07925063	4.870852	1.434037	0
20.7	0.1817559	4.883811	1.434172	0
20.8	0.3315053	4.909547	1.434448	0
20.9	0.5284526	4.952734	1.434911	0
21	0.7709126	5.018051	1.435611	0
21.1	1.058904	5.110035	1.436602	0
21.2	1.38896	5.233052	1.43793	0
21.3	1.75982	5.391301	1.439641	0
21.4	2.169463	5.588669	1.441782	0
21.5	2.614611	5.828909	1.444394	0
21.6	3.093918	6.115496	1.447525	0
21.7	3.60467	6.451658	1.451202	0
21.8	4.133615	6.840199	1.455472	0
21.9	4.648778	7.28095	1.46032	0
22	5.150112	7.772455	1.465739	0
22.1	5.63846	8.313365	1.471721	0
22.2	6.115058	8.90245	1.478252	0
22.3	6.581197	9.538589	1.485328	0
22.4	7.037693	10.22078	1.492938	0
22.5	7.485539	10.94808	1.501084	0
22.6	7.925579	11.71966	1.509753	0
22.7	8.355828	12.5347	1.519132	0
22.8	8.774933	13.39198	1.530474	0
22.9	9.195338	14.29113	1.544989	0
23	9.629998	15.23375	1.563084	0
23.1	10.07328	16.22318	1.586868	0
23.2	10.51609	17.26029	1.625329	0
23.3	10.96196	18.34189	1.685935	0
23.4	11.37376	19.46141	1.780658	0
23.5	11.7346	20.6123	1.919166	0
23.6	12.05601	21.78943	2.105192	0
23.7	12.34952	22.98787	2.341115	0
23.8	12.60661	24.2029	2.625553	0
23.9	12.82073	25.43074	2.951434	0
24	13.00295	26.6693	3.309673	0
24.1	13.16034	27.91821	3.691422	0
24.2	13.29936	29.17739	4.089528	0
24.3	13.42842	30.44663	4.500005	0
24.4	13.55188	31.72596	4.920401	0
24.5	13.66315	33.01563	5.346923	0
24.6	13.77079	34.31562	5.776783	0
24.7	13.87934	35.62568	6.21027	0
24.8	13.98509	36.94545	6.648245	0
24.9	14.08495	38.27459	7.090302	0
25	14.18159	39.61271	7.536189	0
25.1	14.27549	40.95945	7.986354	0
25.2	14.36532	42.31438	8.441066	0
25.3	14.45119	43.67715	8.900228	0
25.4	14.5339	45.0474	9.363729	0
25.5	14.61344	46.42485	9.831419	0
25.6	14.68968	47.80922	10.30302	0
25.7	14.76313	49.20023	10.77833	0
25.8	14.83396	50.59763	11.25723	0
25.9	14.90144	52.0012	11.73943	0
26	14.96629	53.41071	12.22465	0
26.1	15.02907	54.82593	12.71282	0
26.2	15.08929	56.24669	13.20383	0
26.3	15.14718	57.67278	13.69742	0
26.4	15.20338	59.10401	14.19351	0
26.5	15.25767	60.5402	14.69209	0
26.6	15.30978	61.98122	15.19299	0
26.7	15.36013	63.42685	15.6961	0
26.8	15.40883	64.87695	16.20141	0
26.9	15.45554	66.33141	16.70879	0
27	15.50062	67.79005	17.21811	0
27.1	15.54439	69.25276	17.72934	0
27.2	15.58651	70.71941	18.24237	0
27.3	15.62722	72.18986	18.75707	0
27.4	15.66677	73.66399	19.2734	0
27.5	15.70489	75.14168	19.79129	0
27.6	15.74171	76.62283	20.31062	0
27.7	15.77752	78.10733	20.83134	0
27.8	15.81212	79.59509	21.35343	0
27.9	15.84551	81.08598	21.87678	0
28	15.87797	82.57993	22.40134	0
28.1	15.90946	84.07681	22.92712	0
28.2	15.93984	85.57657	23.45403	0
28.3	15.9694	87.07912	23.98201	0
28.4	15.9983	88.58447	24.51108	0
28.5	16.02586	90.09265	25.04113	0
28.6	16.05414	91.60378	25.57196	0
28.7	16.08284	93.11972	26.10096	0
28.8	16.10521	94.6423	26.61961	0
28.9	16.14134	96.17484	27.12243	0
29	16.17188	97.72132	27.59805	0
29.1	16.21141	99.28178	28.03955	0
29.2	16.29836	100.8519	28.46904	0
29.3	16.39375	102.4263	28.91725	0
29.4	16.47228	104.0011	29.39606	0
29.5	16.5187	105.5743	29.89778	0
29.6	16.55776	107.1464	30.41054	0
29.7	16.59323	108.7175	30.92894	0
29.8	16.62435	110.2866	31.45234	0
29.9	16.65209	111.852	31.98187	0
30	16.67491	113.4124	32.51775	0
30.1	16.69335	114.967	33.05899	0
30.2	16.70954	116.5149	33.60458	0
30.3	16.72339	118.0558	34.15299	0
30.4	16.73582	119.5893	34.70235	0
30.5	16.74782	121.1156	35.25098	0
30.6	16.75842	122.6347	35.79718	0
30.7	16.76994	124.1465	36.33971	0
30.8	16.78448	125.6508	36.87857	0
30.9	16.80083	127.1468	37.41425	0
31	16.81946	128.6337	37.94744	0
31.1	16.84009	130.1104	38.47946	0
31.2	16.86157	131.5754	39.01189	0
31.3	16.88252	133.0274	39.54613	0
31.4	16.90133	134.465	40.08295	0
31.5	16.9185	135.8872	40.62274	0
31.6	16.93386	137.2928	41.16579	0
31.7	16.94673	138.6813	41.71162	0
31.8	16.95769	140.0522	42.25922	0
31.9	16.96799	141.4052	42.8078	0
32	16.97757	142.74	43.35664	0
32.1	16.98628	144.0565	43.90466	0
32.2	16.99576	145.3545	44.45135	0
32.3	17.00606	146.6334	44.99667	0
32.4	17.01677	147.893	45.54061	0
32.5	17.02861	149.1324	46.08348	0
32.6	17.04099	150.3508	46.62582	0
32.7	17.05359	151.5474	47.16819	0
32.8	17.06633	152.7213	47.71123	0
32.9	17.07802	153.8715	48.25527	0
33	17.08922	154.9974	48.80047	0
33.1	17.09979	156.0983	49.34707	0
33.2	17.10889	157.1735	49.89483	0
33.3	17.11734	158.2228	50.44334	0
33.4	17.12568	159.2458	50.99245	0
33.5	17.13298	160.2421	51.54171	0
33.6	17.14025	161.2117	52.09068	0
33.7	17.148	162.154	52.63927	0
33.8	17.1554	163.0689	53.18737	0
33.9	17.16316	163.9559	53.73488	0
34	17.17165	164.8145	54.28206	0
34.1	17.17963	165.6443	54.82901	0
34.2	17.18808	166.4447	55.37593	0
34.3	17.19661	167.2152	55.92318	0
34.4	17.2043	167.9554	56.47081	0
34.5	17.2121	168.6648	57.0189	0
34.6	17.21968	169.3429	57.56761	0
34.7	17.22617	169.9895	58.11674	0
34.8	17.23285	170.6044	58.66618	0
34.9	17.2393	171.1872	59.21598	0
35	17.24489	171.7379	59.76577	0
35.1	17.25104	172.2562	60.31548	0
35.2	17.25702	172.7419	60.86514	0
35.3	17.26259	173.1948	61.41452	0
35.4	17.26883	173.6148	61.96367	0
35.5	17.27489	174.0016	62.51276	0
35.6	17.28064	174.355	63.06173	0
35.7	17.28697	174.6747	63.61074	0
35.8	17.29291	174.9606	64.15997	0
35.9	17.29843	175.2125	64.70928	0
36	17.30448	175.4302	65.2588	0
36.1	17.2946	175.6135	65.80844	0
36.2	17.27168	175.7621	66.35756	0
36.3	17.24983	175.876	66.90604	0
36.4	17.22775	175.9553	67.4536	0
36.5	17.20664	176.0001	67.99985	0
36.6	17.18702	176.0104	68.54488	0
36.7	17.16759	175.9865	69.08865	0
36.8	17.14938	175.9282	69.63103	0
36.9	17.13246	175.8356	70.1723	0
37	17.11573	175.7088	70.71246	0
37.1	17.10012	175.5479	71.25149	0
37.2	17.08555	175.3529	71.78971	0
37.3	17.07096	175.1238	72.32706	0
37.4	17.05738	174.8609	72.86356	0
37.5	17.0446	174.5641	73.39937	0
37.6	17.03171	174.2336	73.93447	0
37.7	17.01985	173.8697	74.46877	0
37.8	17.00858	173.4724	75.00253	0
37.9	16.99722	173.042	75.53552	0
38	16.98687	172.5787	76.06781	0
38.1	16.97702	172.0827	76.59947	0
38.2	16.96709	171.5543	77.13043	0
38.3	16.95826	170.9936	77.66071	0
38.4	16.9498	170.4009	78.19042	0
38.5	16.94127	169.7766	78.71949	0
38.6	16.93377	169.1209	79.24796	0
38.7	16.92649	168.434	79.77602	0
38.8	16.91914	167.7162	80.30348	0
38.9	16.91281	166.968	80.83047	0
39	16.90652	166.1896	81.35713	0
39.1	16.90014	165.3814	81.88332	0
39.2	16.89469	164.5437	82.40903	0
39.3	16.88927	163.677	82.93449	0
39.4	16.88375	162.7815	83.4595	0
39.5	16.87915	161.8578	83.98405	0
39.6	16.87448	160.9063	84.50837	0
39.7	16.86974	159.9274	85.03224	0
39.8	16.86591	158.9215	85.55569	0
39.9	16.86199	157.889	86.07892	0
40	16.858	156.8306	86.60172	0
40.1	16.85485	155.7466	87.12434	0
40.2	16.85155	154.6375	87.64657	0
40.3	16.83924	153.5039	88.16843	0
40.4	16.79756	152.3481	88.6894	0
40.5	16.75049	151.1717	89.20898	0
40.6	16.70418	149.9754	89.72677	0
40.7	16.65988	148.7597	90.24245	0
40.8	16.61159	147.5252	90.75588	0
40.9	16.54058	146.2739	91.26651	0
41	16.47005	145.0071	91.77411	0
41.1	16.39503	143.7255	92.27859	0
41.2	16.30781	142.4308	92.77924	0
41.3	16.22422	141.1238	93.27595	0
41.4	16.14328	139.805	93.76875	0
41.5	16.05208	138.4753	94.25735	0
41.6	15.95883	137.1362	94.74153	0
41.7	15.86885	135.7883	95.22141	0
41.8	15.7818	134.4321	95.69691	0
41.9	15.69817	133.0681	96.16801	0
42	15.618	131.6968	96.63494	0
42.1	15.54073	130.3186	97.09784	0
42.2	15.46636	128.9342	97.55679	0
42.3	15.39519	127.544	98.012	0
42.4	15.32673	126.1486	98.46366	0
42.5	15.26068	124.7486	98.91185	0
42.6	15.19746	123.3445	99.35668	0
42.7	15.13679	121.937	99.79837	0
42.8	15.0783	120.5266	100.237	0
42.9	15.02216	119.114	100.6726	0
43	14.96842	117.6997	101.1053	0
43.1	14.91673	116.2845	101.5354	0
43.2	14.86697	114.8688	101.9627	0
43.3	14.8194	113.4536	102.3875	0
43.4	14.77378	112.0393	102.8099	0
43.5	14.72985	110.6266	103.2299	0
43.6	14.68774	109.2163	103.6476	0
43.7	14.64748	107.8089	104.0632	0
43.8	14.6088	106.4053	104.4767	0
43.9	14.57158	105.0061	104.8882	0
44	14.53603	103.612	105.2977	0
44.1	14.50198	102.2238	105.7054	0
44.2	14.46926	100.8421	106.1114	0
44.3	14.42722	99.46808	106.5155	0
44.4	14.38	98.10358	106.9176	0
44.5	14.33447	96.74946	107.3176	0
44.6	14.29022	95.40629	107.7155	0
44.7	14.24779	94.07475	108.1112	0
44.8	14.20723	92.75549	108.5046	0
44.9	14.16838	91.44914	108.896	0
45	14.13089	90.15638	109.2852	0
45.1	14.09528	88.87786	109.6723	0
45.2	14.06134	87.6143	110.0576	0
45.3	14.02418	86.36641	110.441	0
45.4	13.96905	85.1362	110.8221	0
45.5	13.91564	83.92511	111.201	0
45.6	13.86406	82.73368	111.5776	0
45.7	13.8137	81.56239	111.9516	0
45.8	13.76575	80.41178	112.3229	0
45.9	13.72007	79.28239	112.6918	0
46	13.67616	78.17477	113.0582	0
46.1	13.63375	77.08945	113.4222	0
46.2	13.59371	76.027	113.7837	0
46.3	13.55569	74.98802	114.1432	0
46.4	13.51871	73.97302	114.5005	0
46.5	13.48342	72.98256	114.8558	0
46.6	13.45015	72.01723	115.2091	0
46.7	13.41853	71.07762	115.5608	0
46.8	13.38736	70.1642	115.9107	0
46.9	13.35797	69.27753	116.2588	0
47	13.33029	68.41814	116.6055	0
47.1	13.30371	67.58658	116.9508	0
47.2	13.27742	66.78328	117.2946	0
47.3	13.25288	66.00874	117.6369	0
47.4	13.22988	65.2635	117.9781	0
47.5	13.20741	64.54796	118.3181	0
47.6	13.18531	63.86253	118.6567	0
47.7	13.16486	63.20767	118.9942	0
47.8	13.14579	62.58386	119.3307	0
47.9	13.12677	61.99142	119.6662	0
48	13.10826	61.43068	120.0005	0
48.1	13.09132	60.90208	120.3338	0
48.2	13.07552	60.406	120.6665	0
48.3	13.05942	59.94269	120.9982	0
48.4	13.04395	59.5124	121.3289	0
48.5	13.02998	59.11551	121.6588	0
48.6	13.01679	58.75231	121.9882	0
48.7	13.00311	58.42295	122.3168	0
48.8	12.99016	58.12764	122.6446	0
