Time	Aircraft Simulation Net Global Force Y	Aircraft Simulation Position Z	Aircraft Simulation Altitude	Aircraft Simulation Airspeed
19.1	0	4.864497	1.43398	0.001537542
19.2	0	4.864471	1.433983	0.001400059
19.3	0	4.864446	1.433983	0.0004984791
19.4	0	4.864422	1.433983	0.0004564402
19.5	0	4.864403	1.433981	0.0006699189
19.6	0	4.864384	1.433979	0.001159219
19.7	0	4.86436	1.433982	0.001480115
19.8	0	4.864333	1.43398	0.001345202
19.9	0	4.864322	1.433977	0.001313777
20	0	4.864305	1.433982	0.001668399
20.1	0	4.864286	1.433982	0.001384568
20.2	0	4.864265	1.433984	0.001241391
20.3	0	4.864242	1.433981	0.0009844449
20.4	0	4.864225	1.433983	0.0005598338
20.5	0	4.864205	1.43398	0.0004794562
20.6	0	4.864179	1.433983	0.0005042943
20.7	0	4.864158	1.433979	0.0007600391
20.8	0	4.864133	1.433973	0.001123601
20.9	0	4.864106	1.433981	0.0009531626
21	0	4.864089	1.433975	0.0008298517
21.1	0	4.864069	1.433976	0.001281991
21.2	0	4.864048	1.433976	0.001185936
21.3	0	4.864033	1.433974	0.0017533
21.4	0	4.864029	1.433977	0.002015532
21.5	0	4.864065	1.433976	0.002243901
21.6	0	4.864121	1.433974	0.002348169
21.7	0	4.864186	1.433977	0.00114874
21.8	0	4.864275	1.433973	0.001747151
21.9	0	4.864461	1.433975	0.003135347
22	0	4.865198	1.433978	0.01494773
22.1	0	4.868798	1.434018	0.06084913
22.2	0	4.879288	1.434127	0.1517471
22.3	0	4.901384	1.434359	0.2899737
22.4	0	4.939853	1.434775	0.4761736
22.5	0	4.999331	1.43541	0.7078229
22.6	0	5.084422	1.436326	0.9827709
22.7	0	5.199309	1.437562	1.303797
22.8	0	5.348598	1.439177	1.666828
22.9	0	5.536272	1.441212	2.068715
23	0	5.766115	1.443713	2.508029
23.1	0	6.041702	1.446718	2.981181
23.2	0	6.366359	1.450268	3.486602
23.3	0	6.742967	1.454399	4.015264
23.4	0	7.172069	1.459118	4.533951
23.5	0	7.652245	1.464413	5.038183
23.6	0	8.182121	1.47027	5.52935
23.7	0	8.76044	1.476681	6.008494
23.8	0	9.386056	1.483637	6.476883
23.9	0	10.05793	1.491127	6.935531
24	0	10.77513	1.499154	7.38534
24.1	0	11.53678	1.507713	7.827024
24.2	0	12.3421	1.516863	8.25999
24.3	0	13.18991	1.527644	8.680668
24.4	0	14.07955	1.541375	9.099635
24.5	0	15.01207	1.558655	9.530318
24.6	0	15.99068	1.580544	9.973403
24.7	0	17.01685	1.615086	10.40783
24.8	0	18.08843	1.669174	10.84951
24.9	0	19.19958	1.752963	11.27275
25	0	20.34329	1.878856	11.64498
25.1	0	21.51393	2.052878	11.97268
25.2	0	22.70635	2.278206	12.27137
25.3	0	23.91556	2.555095	12.53698
25.4	0	25.13718	2.87753	12.75865
25.5	0	26.36899	3.236017	12.95003
25.6	0	27.61181	3.618717	13.11811
25.7	0	28.86844	4.008574	13.25981
25.8	0	30.14237	4.389694	13.39561
25.9	0	31.43711	4.751925	13.54735
26	0	32.7559	5.086177	13.70707
26.1	0	34.10057	5.384934	13.88646
26.2	0	35.47246	5.647377	14.09672
26.3	0	36.87196	5.876818	14.31671
26.4	0	38.2965	6.086113	14.55441
26.5	0	39.74402	6.302284	14.80847
26.6	0	41.21102	6.549868	15.04124
26.7	0	42.69161	6.844034	15.25009
26.8	0	44.18023	7.19258	15.42601
26.9	0	45.67139	7.594782	15.55977
27	0	47.16005	8.04775	15.66074
27.1	0	48.64321	8.548746	15.74371
27.2	0	50.12113	9.084762	15.78549
27.3	0	51.59663	9.636909	15.80168
27.4	0	53.07238	10.19233	15.81148
27.5	0	54.55091	10.74559	15.83363
27.6	0	56.03715	11.28527	15.84549
27.7	0	57.53657	11.79259	15.85856
27.8	0	59.05247	12.25799	15.89985
27.9	0	60.58664	12.68187	15.96302
28	0	62.14043	13.06361	16.02467
28.1	0	63.71437	13.40307	16.08936
28.2	0	65.30869	13.70531	16.16217
28.3	0	66.92355	13.97727	16.24733
28.4	0	68.55925	14.22397	16.35179
28.5	0	70.21497	14.4501	16.48325
28.6	0	71.88946	14.66974	16.67111
28.7	0	73.58187	14.89808	16.88865
28.8	0	75.28922	15.13932	17.09586
28.9	0	77.0062	15.40117	17.31271
29	0	78.72728	15.69713	17.51936
29.1	0	80.44442	16.03064	17.68704
29.2	0	82.14819	16.40061	17.83209
29.3	0	83.82835	16.80436	17.95098
29.4	0	85.47316	17.23676	18.05136
29.5	0	87.06867	17.6929	18.14501
29.6	0	88.59872	18.1668	18.23079
29.7	0	90.04498	18.65086	18.31086
29.8	0	91.38828	19.14079	18.38881
29.9	0	92.61859	19.62843	18.45037
30	0	93.73972	20.10433	18.48843
30.1	0	94.75589	20.56383	18.54115
30.2	0	95.66309	21.00642	18.61316
30.3	0	96.45148	21.43636	18.68808
30.4	0	97.09911	21.86178	18.77804
30.5	0	97.57599	22.29457	18.87829
30.6	0	97.85441	22.74692	18.98142
30.7	0	97.91771	23.22554	19.0709
30.8	0	97.75999	23.73246	19.15429
30.9	0	97.38505	24.26698	19.22909
31	0	96.81048	24.82175	19.27982
31.1	0	96.06093	25.38618	19.30791
31.2	0	95.15954	25.95033	19.32348
31.3	0	94.12729	26.50488	19.32593
31.4	0	92.98109	27.04246	19.32656
31.5	0	91.72897	27.56154	19.34021
