Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force X	Aircraft Simulation Net Global Force Y	Aircraft Simulation Net Global Force Z	Aircraft Simulation Airspeed
95.6	48.85357	866.7315	0	0	0	10.70674
95.7	48.87012	867.8004	0	0	0	10.65854
95.8	48.88003	868.8646	0	0	0	10.61641
95.9	48.88303	869.9252	0	0	0	10.58067
96	48.87885	870.9825	0	0	0	10.55151
96.1	48.86729	872.0372	0	0	0	10.52919
96.2	48.84821	873.0908	0	0	0	10.5139
96.3	48.82152	874.1414	0	0	0	10.50572
96.4	48.78714	875.192	0	0	0	10.50462
96.5	48.74511	876.2424	0	0	0	10.51067
96.6	48.69549	877.2931	0	0	0	10.52372
96.7	48.63837	878.3466	0	0	0	10.54362
96.8	48.57392	879.4012	0	0	0	10.57022
96.9	48.5023	880.4584	0	0	0	10.6032
97	48.42374	881.5189	0	0	0	10.64225
97.1	48.33858	882.5829	0	0	0	10.68706
97.2	48.24712	883.6512	0	0	0	10.73732
97.3	48.14973	884.7243	0	0	0	10.79246
97.4	48.04679	885.8027	0	0	0	10.852
97.5	47.93875	886.8866	0	0	0	10.91555
97.6	47.8261	887.9766	0	0	0	10.98261
97.7	47.70932	889.0729	0	0	0	11.05261
97.8	47.58897	890.1761	0	0	0	11.125
97.9	47.46555	891.2864	0	0	0	11.19925
98	47.33966	892.4038	0	0	0	11.27477
98.1	47.21189	893.5287	0	0	0	11.35117
98.2	47.08284	894.661	0	0	0	11.42779
98.3	46.95313	895.8009	0	0	0	11.50406
98.4	46.82339	896.9484	0	0	0	11.57954
98.5	46.69415	898.1035	0	0	0	11.65372
98.6	46.5661	899.2661	0	0	0	11.72609
98.7	46.43983	900.4359	0	0	0	11.79623
98.8	46.31595	901.613	0	0	0	11.86365
98.9	46.19503	902.797	0	0	0	11.92791
99	46.07762	903.9875	0	0	0	11.98868
99.1	45.96427	905.1843	0	0	0	12.04559
99.2	45.85552	906.3871	0	0	0	12.09825
99.3	45.75179	907.5953	0	0	0	12.14638
99.4	45.65355	908.8083	0	0	0	12.18964
99.5	45.56121	910.0262	0	0	0	12.22792
99.6	45.47516	911.248	0	0	0	12.26093
99.7	45.3957	912.4732	0	0	0	12.28842
99.8	45.32309	913.7014	0	0	0	12.31028
99.9	45.25756	914.9315	0	0	0	12.32643
100	45.19931	916.1638	0	0	0	12.33683
100.1	45.14845	917.3962	0	0	0	12.34133
100.2	45.105	918.6285	0	0	0	12.33989
100.3	45.069	919.8609	0	0	0	12.33266
100.4	45.04042	921.0932	0	0	0	12.31963
100.5	45.01915	922.3243	0	0	0	12.3009
100.6	45.00505	923.5535	0	0	0	12.27655
100.7	44.99788	924.7797	0	0	0	12.24678
100.8	44.99743	926.0026	0	0	0	12.21184
100.9	45.00336	927.2217	0	0	0	12.17184
101	45.01528	928.4369	0	0	0	12.12705
101.1	45.03279	929.6469	0	0	0	12.07787
101.2	45.05546	930.8518	0	0	0	12.02458
101.3	45.0828	932.0512	0	0	0	11.96755
101.4	45.11432	933.2446	0	0	0	11.90707
101.5	45.14944	934.4316	0	0	0	11.84361
101.6	45.18761	935.6121	0	0	0	11.77766
101.7	45.22829	936.7859	0	0	0	11.70955
101.8	45.27084	937.9526	0	0	0	11.63977
101.9	45.31467	939.1122	0	0	0	11.56882
102	45.35918	940.265	0	0	0	11.49719
102.1	45.40376	941.4102	0	0	0	11.4254
102.2	45.4478	942.5485	0	0	0	11.35391
102.3	45.49068	943.6799	0	0	0	11.28319
102.4	45.53184	944.8041	0	0	0	11.21391
102.5	45.57073	945.9218	0	0	0	11.1465
102.6	45.60682	947.0329	0	0	0	11.08138
102.7	45.63956	948.1378	0	0	0	11.01907
102.8	45.66851	949.2368	0	0	0	10.9601
102.9	45.69321	950.3302	0	0	0	10.90481
103	45.71326	951.4185	0	0	0	10.85364
103.1	45.72824	952.5018	0	0	0	10.80699
103.2	45.73782	953.5809	0	0	0	10.76515
