Time	Aircraft Simulation Net Global Moment X	Aircraft Simulation Net Global Force Y
30.4	1.886054	134.6999
30.5	2.042898	136.6514
30.6	2.131706	138.3446
30.7	2.4203	140.0786
30.8	2.540151	140.8864
30.9	2.791873	142.2554
31	3.120796	143.2702
31.1	3.44223	143.8908
31.2	3.764167	144.0131
31.3	4.199056	143.603
31.4	4.55098	142.7848
31.5	6.527041	130.6763
31.6	7.793248	118.5219
31.7	8.356797	112.4836
31.8	9.890803	106.2974
31.9	10.84851	99.2645
32	11.39409	93.40248
32.1	12.26346	88.76337
32.2	12.91887	83.98136
32.3	13.23703	80.34041
32.4	13.73823	75.65464
32.5	13.98987	73.27755
32.6	14.03507	72.27516
32.7	14.0782	69.17529
32.8	14.062	68.86362
32.9	13.90531	65.64925
33	13.56247	62.86507
33.1	13.25454	61.81957
33.2	12.68003	59.47681
33.3	12.37025	58.51281
33.4	11.87402	57.33662
33.5	11.35452	56.08632
33.6	11.09434	55.51377
33.7	10.81812	55.00425
33.8	10.66908	54.71802
33.9	10.40921	54.21485
34	9.886333	53.28355
34.1	9.161744	52.12984
34.2	8.773331	51.57752
34.3	8.371987	51.05745
34.4	7.86307	50.47561
34.5	7.575863	50.19826
34.6	7.400777	50.05265
34.7	7.087818	49.85115
34.8	6.827277	49.77393
34.9	6.633615	49.81784
35	6.536117	49.90329
35.1	6.462991	50.01995
35.2	6.45555	50.04104
35.3	6.4399	50.08282
35.4	6.440306	50.08334
35.5	6.441133	50.08435
35.6	6.440611	50.08369
35.7	6.440718	50.08385
35.8	6.439435	50.08229
35.9	6.440723	50.08383
36	6.440727	50.08385
36.1	6.440742	50.08389
