Time	Aircraft Simulation True Pitch Moment	Aircraft Simulation Net Global Force Y
31.9	-16.23119	-55.80387
32	-16.16465	-55.57121
32.1	-16.23325	-55.65323
32.2	-16.26812	-55.69354
32.3	-16.27283	-55.69926
32.4	-16.34606	-55.94289
32.5	-16.75534	-58.15314
32.6	-16.84325	-59.46767
32.7	-16.83138	-60.58975
32.8	-16.7258	-62.56212
32.9	-16.53996	-64.85871
33	-16.39202	-66.24229
33.1	-16.24243	-67.56321
33.2	-16.12557	-68.59677
33.3	-15.36816	-74.23973
33.4	-13.69611	-84.9726
33.5	-12.73602	-89.40458
33.6	-11.94084	-91.82345
33.7	-10.74319	-92.7198
33.8	-9.743546	-88.11646
33.9	-9.056369	-82.87931
34	-8.042156	-74.45518
34.1	-7.837008	-72.63689
34.2	-7.809824	-72.34001
34.3	-7.359317	-68.83248
34.4	-7.098528	-66.59163
34.5	-6.717219	-62.21811
34.6	-6.228119	-57.91212
34.7	-6.089818	-57.72836
34.8	-5.943909	-56.11142
34.9	-5.566752	-52.1764
35	-5.350356	-50.64468
35.1	-4.999627	-47.71618
35.2	-4.507477	-40.8134
35.3	-3.542544	-30.74895
35.4	-3.130292	-25.78744
35.5	-2.661926	-20.45606
35.6	-1.579898	-12.14306
35.7	-1.053728	-6.425293
35.8	-0.7935492	-1.811136
35.9	0.09156893	10.2307
36	0.6497327	19.2859
36.1	0.8853543	23.24151
36.2	0.5155793	25.48046
36.3	0.7479331	32.14215
36.4	0.9848542	36.38408
36.5	0.8893824	38.66977
36.6	0.9204785	41.22142
36.7	1.110213	44.48403
36.8	1.066296	45.62579
36.9	1.627939	55.96417
37	1.921617	60.53665
37.1	1.902753	62.59621
37.2	1.845607	65.79657
37.3	1.903965	67.06425
37.4	1.996319	68.96304
37.5	1.948826	70.09708
37.6	2.125277	72.79338
37.7	2.267356	75.04762
37.8	2.26288	77.11139
37.9	2.454023	80.01754
38	2.750461	83.92208
38.1	2.616594	84.93304
38.2	2.772702	87.49485
38.3	2.843	88.44953
38.4	2.88445	90.54967
38.5	3.384528	97.30975
38.6	3.618327	100.2165
38.7	3.558548	101.9635
38.8	3.936689	107.6069
38.9	4.016631	108.2392
39	4.0142	109.99
39.1	4.50888	116.6087
39.2	5.326526	125.3987
39.3	5.587784	129.9195
39.4	5.921347	135.5391
39.5	7.480229	145.026
39.6	7.355516	146.8548
39.7	7.782002	149.6699
39.8	8.370837	150.7129
39.9	8.422782	150.7108
40	8.751518	150.4329
40.1	8.973217	150.1211
40.2	9.657781	147.8231
40.3	10.10808	145.9979
40.4	10.47852	143.958
40.5	10.77322	141.8378
40.6	11.36417	138.1407
40.7	11.50236	137.8087
40.8	12.0408	132.3278
40.9	12.47429	130.2493
41	13.19396	123.4003
41.1	13.70185	117.2214
41.2	13.99986	117.6077
41.3	14.8676	109.7649
41.4	15.04834	107.9515
41.5	15.77894	100.3638
41.6	16.36254	96.22285
41.7	16.51316	94.65475
41.8	16.88432	90.73386
41.9	17.26267	89.162
42	17.50239	85.19903
42.1	17.60459	83.99784
42.2	17.71607	82.92693
42.3	17.78326	79.95343
42.4	17.78801	79.96187
42.5	17.76955	77.58875
42.6	17.68791	75.41068
42.7	17.65447	74.82491
42.8	17.47021	73.33827
42.9	17.32233	72.23015
43	17.09339	70.69592
43.1	16.72562	69.15971
43.2	16.46371	68.19093
43.3	16.03902	66.67323
43.4	15.88572	66.36766
43.5	15.81344	66.28165
43.6	15.31785	64.86382
43.7	15.2218	64.64711
43.8	13.86032	61.63953
43.9	13.68858	61.31112
44	13.38712	60.77835
44.1	13.04666	60.23197
44.2	12.20776	58.85466
44.3	11.35506	57.6437
44.4	10.86113	57.03459
44.5	10.32528	56.3811
44.6	9.823256	55.82817
44.7	9.524889	55.48948
44.8	9.36942	55.33752
44.9	8.871427	54.9441
45	8.697001	54.83482
45.1	8.659771	54.81229
45.2	8.326787	54.67428
45.3	8.274261	54.67472
45.4	8.190442	54.65812
45.5	8.112554	54.65362
45.6	7.998686	54.6727
45.7	7.877273	54.73011
45.8	7.767108	54.74981
45.9	7.741889	54.82912
46	7.729305	54.87578
46.1	7.720632	54.64922
46.2	7.728378	54.80886
46.3	7.728676	54.86297
46.4	7.728794	54.86592
46.5	7.728773	54.8192
46.6	7.733658	54.86991
46.7	7.734293	54.87152
46.8	7.735016	54.87658
46.9	7.731403	54.87899
47	7.730618	54.87149
47.1	7.730379	54.87426
47.2	7.73094	54.87591
47.3	7.730539	54.87359
47.4	7.730369	54.87282
