Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
33.9	56.59202	398.3156
34	56.85581	399.8614
34.1	57.11936	401.4048
34.2	57.38201	402.9456
34.3	57.64354	404.4842
34.4	57.90567	406.0195
34.5	58.17081	407.5522
34.6	58.43831	409.0819
34.7	58.70543	410.6089
34.8	58.97002	412.1334
34.9	59.23117	413.656
35	59.48855	415.1773
35.1	59.74201	416.6975
35.2	59.99142	418.2173
35.3	60.23669	419.736
35.4	60.47776	421.2554
35.5	60.71461	422.7757
35.6	60.94724	424.2965
35.7	61.17542	425.8177
35.8	61.39835	427.3362
35.9	61.61519	428.849
36	61.82505	430.3537
36.1	62.02692	431.8476
36.2	62.21961	433.3288
36.3	62.40166	434.7957
36.4	62.57151	436.2468
36.5	62.72747	437.6813
36.6	62.86776	439.0993
36.7	62.99051	440.5011
36.8	63.09414	441.8898
36.9	63.17749	443.2685
37	63.23927	444.6388
37.1	63.27843	446.0026
37.2	63.29422	447.3617
37.3	63.28619	448.7181
37.4	63.25427	450.0734
37.5	63.19872	451.4302
37.6	63.12015	452.7903
37.7	63.01945	454.1557
37.8	62.89767	455.5284
37.9	62.75648	456.9099
38	62.59798	458.3025
38.1	62.42408	459.7084
38.2	62.23693	461.129
38.3	62.03894	462.5648
38.4	61.83367	464.017
38.5	61.62527	465.4874
38.6	61.4171	466.9777
38.7	61.21144	468.4877
38.8	61.00831	470.016
38.9	60.80667	471.5616
39	60.60702	473.1244
39.1	60.4111	474.7043
39.2	60.22085	476.3011
39.3	60.03796	477.9143
39.4	59.86402	479.5428
39.5	59.70045	481.1862
39.6	59.54889	482.843
39.7	59.41082	484.5124
39.8	59.28764	486.1929
39.9	59.18045	487.8832
40	59.09031	489.5816
40.1	59.01813	491.2866
40.2	58.96463	492.9963
40.3	58.93023	494.7092
40.4	58.91507	496.4227
40.5	58.91932	498.1359
40.6	58.94284	499.8466
40.7	58.98512	501.5529
40.8	59.04553	503.253
40.9	59.12328	504.9454
41	59.2174	506.6283
41.1	59.32664	508.3003
41.2	59.44958	509.9601
41.3	59.58471	511.6064
41.4	59.73039	513.2382
41.5	59.88485	514.8544
41.6	60.04624	516.4547
41.7	60.21263	518.0384
41.8	60.38205	519.605
41.9	60.55256	521.1544
42	60.72215	522.6869
42.1	60.8889	524.2024
42.2	61.05085	525.7015
42.3	61.20609	527.1845
42.4	61.35278	528.6523
42.5	61.48922	530.1058
42.6	61.61376	531.546
42.7	61.72481	532.9739
42.8	61.82088	534.3906
42.9	61.90067	535.7979
43	61.96302	537.197
43.1	62.00698	538.5893
43.2	62.03181	539.9763
43.3	62.03694	541.3602
43.4	62.02211	542.7419
43.5	61.98732	544.1237
43.6	61.93283	545.5072
43.7	61.85916	546.894
43.8	61.76709	548.2861
43.9	61.6575	549.6851
44	61.53147	551.0923
44.1	61.39024	552.5095
