Time	Aircraft Simulation True Pitch Moment	Aircraft Simulation Net Global Force Y
27.7	-16.72352	-36.87458
27.8	-16.72151	-36.87205
27.9	-16.72134	-36.87182
28	-16.72405	-36.87524
28.1	-16.72168	-36.87226
28.2	-16.87087	-37.27804
28.3	-17.15618	-38.30629
28.4	-17.34685	-39.66671
28.5	-17.35589	-41.74294
28.6	-16.95768	-44.94738
28.7	-16.45567	-48.48722
28.8	-15.65075	-52.13802
28.9	-14.71262	-54.88593
29	-13.89054	-56.3201
29.1	-13.09686	-54.81883
29.2	-12.3603	-52.38461
29.3	-11.4914	-48.66096
29.4	-9.99332	-41.04025
29.5	-7.91026	-29.40735
29.6	-6.172589	-22.35672
29.7	-4.476051	-14.1297
29.8	-3.652326	-9.366552
29.9	-2.45892	-5.185402
30	-1.55033	-0.912344
30.1	-0.8842372	3.802954
30.2	-0.5149596	7.397945
30.3	0.04071999	12.56193
30.4	0.5950829	16.67369
30.5	1.027716	21.07075
30.6	0.8168741	22.58549
30.7	1.245927	25.92784
30.8	1.849417	30.65638
30.9	1.696213	32.08196
31	1.981264	34.34208
31.1	2.478977	37.88329
31.2	2.324232	39.00272
31.3	2.610299	41.24766
31.4	2.954877	43.55908
31.5	2.894129	44.73613
31.6	2.82603	44.65167
31.7	2.954754	45.53248
31.8	2.970366	46.12796
31.9	2.994087	46.4452
32	3.019144	46.62011
32.1	2.990583	46.58467
32.2	3.311954	48.70538
32.3	3.565522	50.30647
32.4	3.680262	51.58859
32.5	3.877013	53.39314
32.6	4.193728	55.38414
32.7	4.278724	56.3315
32.8	4.430659	58.05458
32.9	4.866036	60.70962
33	5.126959	62.52997
33.1	5.328917	64.78642
33.2	5.763263	67.27561
33.3	5.947309	68.3905
33.4	5.981267	69.78956
33.5	6.35632	71.78125
33.6	6.581304	72.84037
33.7	6.54731	73.44096
33.8	6.878434	74.94797
33.9	7.082256	75.74811
34	7.189733	76.5471
34.1	7.508548	77.64928
34.2	7.934441	78.80457
34.3	8.034005	79.13583
34.4	8.357172	79.69196
34.5	8.593359	79.96446
34.6	8.655454	79.99326
34.7	9.133718	80.1072
34.8	9.717636	79.62811
34.9	9.953084	79.26025
35	10.53688	78.24955
35.1	10.7497	77.75642
35.2	10.75857	77.76721
35.3	10.89792	77.93703
35.4	11.12996	77.32852
35.5	11.43453	76.17723
35.6	11.7439	75.55547
35.7	12.16191	73.89008
35.8	12.74713	70.9561
35.9	13.1112	71.39729
36	13.21767	71.5265
36.1	13.29035	71.2937
36.2	13.56062	69.65096
36.3	13.78711	68.57787
36.4	13.90138	68.03474
36.5	14.18311	67.34527
36.6	14.72784	64.88819
36.7	15.17458	62.33274
36.8	15.54561	61.76461
36.9	16.34785	58.19801
37	16.60651	57.19407
37.1	17.10291	55.22031
37.2	17.64016	53.53111
37.3	17.75031	52.94172
37.4	17.96085	51.40799
37.5	18.11366	50.76673
37.6	18.15131	50.22954
37.7	18.17492	49.34827
37.8	18.13042	47.98593
37.9	18.02586	46.86174
38	17.83049	45.6377
38.1	17.45058	44.52816
38.2	16.86484	42.83604
38.3	16.31283	41.53069
38.4	15.4453	39.96906
38.5	14.66891	38.63189
38.6	13.69134	37.06497
38.7	13.0162	36.08854
38.8	11.80635	34.41285
38.9	11.23117	33.663
39	11.05929	33.44719
39.1	10.82978	33.16133
39.2	10.17002	32.36589
39.3	9.801983	31.94611
39.4	9.743216	31.88012
39.5	9.598396	31.72161
39.6	9.338087	31.44743
39.7	9.199342	31.30629
39.8	9.047739	31.15824
39.9	8.867114	30.99196
40	8.823989	30.95372
40.1	8.761476	30.89961
40.2	8.731074	30.87386
40.3	8.675824	30.82944
40.4	8.674915	30.82838
40.5	8.674342	30.82772
40.6	8.676788	30.83059
40.7	8.675569	30.82916
40.8	8.674938	30.82843
40.9	8.677389	30.83131
41	8.675706	30.82932
41.1	8.674984	30.82848
41.2	8.677859	30.83187
41.3	8.675824	30.82946
41.4	8.675022	30.82853
41.5	8.678281	30.83237
41.6	8.675963	30.82963
41.7	8.675052	30.82856
41.8	8.678442	30.83258
41.9	8.676124	30.82981
42	8.675404	30.82898
