Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
60.6	1.433879	4.85519
60.7	1.433877	4.855171
60.8	1.433879	4.855145
60.9	1.433878	4.855133
61	1.433878	4.855115
61.1	1.433877	4.855093
61.2	1.433878	4.855072
61.3	1.433876	4.855044
61.4	1.433878	4.855017
61.5	1.433874	4.855
61.6	1.433877	4.85498
61.7	1.433876	4.854957
61.8	1.433874	4.854943
61.9	1.433875	4.854923
62	1.433875	4.854897
62.1	1.433877	4.854871
62.2	1.43387	4.854854
62.3	1.433877	4.854829
62.4	1.433875	4.854808
62.5	1.433872	4.854787
62.6	1.433874	4.854764
62.7	1.433874	4.854744
62.8	1.433873	4.854721
62.9	1.433874	4.854695
63	1.433874	4.854674
63.1	1.433868	4.854654
63.2	1.433871	4.854632
63.3	1.433866	4.854615
63.4	1.433872	4.854603
63.5	1.433876	4.854583
63.6	1.43387	4.854558
63.7	1.433867	4.854537
63.8	1.433871	4.854507
63.9	1.433866	4.854479
64	1.433868	4.854464
64.1	1.433867	4.854449
64.2	1.433868	4.854435
64.3	1.43387	4.854405
64.4	1.433866	4.854379
64.5	1.433863	4.854359
64.6	1.433869	4.854332
64.7	1.433866	4.854309
64.8	1.433863	4.854291
64.9	1.433869	4.854271
65	1.433866	4.85425
65.1	1.433867	4.854232
65.2	1.433865	4.854208
65.3	1.433865	4.854188
65.4	1.433865	4.85417
65.5	1.433864	4.854142
65.6	1.433866	4.854118
65.7	1.433863	4.854096
65.8	1.433866	4.854078
65.9	1.433866	4.854061
66	1.433864	4.854038
66.1	1.433865	4.854017
66.2	1.433862	4.853992
66.3	1.433863	4.853969
66.4	1.433864	4.853951
66.5	1.433861	4.853931
66.6	1.433865	4.85391
66.7	1.433864	4.853891
66.8	1.433863	4.853866
66.9	1.433861	4.853835
67	1.433862	4.853813
67.1	1.433859	4.853793
67.2	1.433862	4.853773
67.3	1.433861	4.853748
67.4	1.43386	4.853732
67.5	1.433862	4.853711
67.6	1.433861	4.853687
67.7	1.433862	4.853671
67.8	1.433859	4.853647
67.9	1.43386	4.85362
68	1.433859	4.853593
68.1	1.433858	4.853572
68.2	1.433858	4.853556
68.3	1.433859	4.853536
68.4	1.433859	4.853513
68.5	1.433859	4.853489
68.6	1.433859	4.853466
68.7	1.433857	4.853438
68.8	1.433859	4.853416
68.9	1.433858	4.8534
69	1.433856	4.853383
69.1	1.433859	4.853369
69.2	1.433858	4.853348
69.3	1.433856	4.853325
69.4	1.433856	4.853305
69.5	1.433851	4.853282
69.6	1.433854	4.853261
69.7	1.433859	4.853237
69.8	1.433854	4.853218
69.9	1.433856	4.853201
70	1.433855	4.85318
70.1	1.433857	4.85316
70.2	1.433858	4.853137
70.3	1.433856	4.853109
70.4	1.433857	4.853084
70.5	1.433849	4.853064
70.6	1.433851	4.853041
70.7	1.433855	4.853022
70.8	1.433856	4.853002
70.9	1.433854	4.852987
71	1.433852	4.852968
71.1	1.433856	4.852937
71.2	1.433855	4.852909
71.3	1.43385	4.852885
