Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force Z
66.5	1.433861	4.853931	0
66.6	1.433865	4.85391	0
66.7	1.433864	4.853891	0
66.8	1.433863	4.853866	0
66.9	1.433861	4.853835	0
67	1.433862	4.853813	0
67.1	1.433859	4.853793	0
67.2	1.433862	4.853773	0
67.3	1.433861	4.853748	0
67.4	1.43386	4.853732	0
67.5	1.433862	4.853711	0
67.6	1.433861	4.853687	0
67.7	1.433862	4.853671	0
67.8	1.433859	4.853647	0
67.9	1.43386	4.85362	0
68	1.433859	4.853593	0
68.1	1.433858	4.853572	0
68.2	1.433858	4.853556	0
68.3	1.433859	4.853536	0
68.4	1.433859	4.853513	0
68.5	1.433859	4.853489	0
68.6	1.433859	4.853466	0
68.7	1.433857	4.853438	0
68.8	1.433859	4.853416	0
68.9	1.433858	4.8534	0
69	1.433856	4.853383	0
69.1	1.433859	4.853369	0
69.2	1.433858	4.853348	0
69.3	1.433856	4.853325	0
69.4	1.433856	4.853305	0
69.5	1.433851	4.853282	0
69.6	1.433854	4.853261	0
69.7	1.433859	4.853237	0
69.8	1.433854	4.853218	0
69.9	1.433856	4.853201	0
70	1.433855	4.85318	0
70.1	1.433857	4.85316	0
70.2	1.433858	4.853137	0
70.3	1.433856	4.853109	0
70.4	1.433857	4.853084	0
70.5	1.433849	4.853064	0
70.6	1.433851	4.853041	0
70.7	1.433855	4.853022	0
70.8	1.433856	4.853002	0
70.9	1.433854	4.852987	0
71	1.433852	4.852968	0
71.1	1.433856	4.852937	0
71.2	1.433855	4.852909	0
71.3	1.43385	4.852885	0
71.4	1.433852	4.852861	0
71.5	1.433853	4.852842	0
71.6	1.433853	4.852827	0
71.7	1.433852	4.852802	0
71.8	1.433852	4.85278	0
71.9	1.43385	4.852757	0
72	1.43385	4.852739	0
72.1	1.433848	4.852716	0
72.2	1.433849	4.85269	0
72.3	1.43385	4.852665	0
72.4	1.433847	4.852645	0
72.5	1.43385	4.852628	0
72.6	1.43385	4.852613	0
72.7	1.433848	4.852592	0
72.8	1.433851	4.852568	0
72.9	1.433851	4.852545	0
73	1.433849	4.85252	0
73.1	1.433849	4.852499	0
73.2	1.433848	4.852481	0
73.3	1.433847	4.852462	0
73.4	1.433847	4.852441	0
73.5	1.433845	4.85242	0
73.6	1.433849	4.852395	0
73.7	1.433845	4.852369	0
73.8	1.433844	4.852354	0
73.9	1.43385	4.852328	0
74	1.433849	4.852312	0
74.1	1.433849	4.852292	0
74.2	1.433845	4.852268	0
74.3	1.433848	4.852243	0
74.4	1.433842	4.852218	0
74.5	1.433848	4.852195	0
74.6	1.433847	4.852178	0
