Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z	Aircraft Simulation Net Global Force Z	Aircraft Simulation Airspeed
33.2	1.433943	4.861117	0	0.001433594
33.3	1.433945	4.861094	0	0.001132376
33.4	1.433944	4.861075	0	0.0008005576
33.5	1.433942	4.861056	0	0.0009432166
33.6	1.433941	4.861033	0	0.0009419139
33.7	1.433943	4.861011	0	0.0007138539
33.8	1.433943	4.860989	0	0.001108974
33.9	1.433942	4.860962	0	0.001449148
34	1.433943	4.860939	0	0.001510376
34.1	1.433943	4.860919	0	0.001505813
34.2	1.433941	4.860895	0	0.001100797
34.3	1.43394	4.860878	0	0.001088402
34.4	1.43394	4.860858	0	0.0009897887
34.5	1.43394	4.860832	0	0.001038872
34.6	1.433941	4.860806	0	0.0008268832
34.7	1.433942	4.860786	0	0.0009769354
34.8	1.43394	4.860772	0	0.001209485
34.9	1.43394	4.860749	0	0.001472041
35	1.433941	4.860733	0	0.001288877
35.1	1.433941	4.860707	0	0.001036008
35.2	1.433938	4.860683	0	0.001094047
35.3	1.433938	4.860661	0	0.0009762287
35.4	1.433941	4.860641	0	0.001269107
35.5	1.43394	4.860619	0	0.001371939
35.6	1.43394	4.8606	0	0.00128748
35.7	1.433941	4.86058	0	0.001161892
35.8	1.433939	4.860554	0	0.0008437185
35.9	1.433942	4.860535	0	0.0006677471
36	1.433941	4.860517	0	0.0007672407
36.1	1.433939	4.860497	0	0.001078841
36.2	1.433935	4.860473	0	0.001219186
36.3	1.433933	4.860448	0	0.0009894631
36.4	1.433938	4.860424	0	0.0007819846
36.5	1.433937	4.860409	0	0.0009995764
36.6	1.433937	4.86039	0	0.000989785
36.7	1.433942	4.860367	0	0.0006882212
36.8	1.433934	4.860351	0	0.000886855
36.9	1.433937	4.86032	0	0.0008004767
37	1.433937	4.860299	0	0.0003805571
37.1	1.433932	4.860277	0	0.0006806559
37.2	1.433933	4.860252	0	0.001076698
37.3	1.433937	4.86023	0	0.001290691
37.4	1.433933	4.860216	0	0.00146493
37.5	1.433935	4.860187	0	0.001289224
37.6	1.433936	4.860174	0	0.001144861
37.7	1.433933	4.860152	0	0.001014087
37.8	1.433935	4.860128	0	0.0007109234
37.9	1.433932	4.860108	0	0.0008570484
38	1.433934	4.860086	0	0.0009128501
38.1	1.43393	4.860064	0	0.001258309
38.2	1.433933	4.860045	0	0.001362771
38.3	1.433933	4.860027	0	0.001241836
38.4	1.433932	4.860005	0	0.00124733
38.5	1.433933	4.859978	0	0.0008875042
38.6	1.433934	4.859952	0	0.0008378422
38.7	1.43393	4.859934	0	0.001023197
38.8	1.433929	4.859908	0	0.0009135145
38.9	1.433929	4.859891	0	0.0009517678
39	1.433932	4.859872	0	0.001014413
39.1	1.433932	4.85985	0	0.001033529
39.2	1.433931	4.859828	0	0.0008433494
39.3	1.43393	4.859804	0	0.0009687111
39.4	1.433928	4.859779	0	0.0007234092
39.5	1.433928	4.859765	0	0.0009158984
39.6	1.433926	4.859745	0	0.001138658
39.7	1.433928	4.859722	0	0.001338999
39.8	1.433929	4.859701	0	0.001177453
39.9	1.433929	4.859682	0	0.001046503
40	1.433929	4.859661	0	0.000703316
40.1	1.433929	4.859631	0	0.0005328198
40.2	1.433927	4.859611	0	0.0006841547
40.3	1.433925	4.859588	0	0.00101823
40.4	1.433926	4.859568	0	0.00120456
40.5	1.433925	4.859544	0	0.001458663
40.6	1.433926	4.859528	0	0.001502171
40.7	1.433927	4.859505	0	0.00128798
40.8	1.433929	4.859487	0	0.0006777318
40.9	1.433926	4.859465	0	0.0005693
41	1.433923	4.859437	0	0.0007549754
41.1	1.433923	4.859412	0	0.0005180593
41.2	1.433922	4.859389	0	0.001088712
41.3	1.433926	4.859363	0	0.0008782094
41.4	1.433928	4.859341	0	0.001435828
41.5	1.433926	4.859333	0	0.001491609
41.6	1.433928	4.859319	0	0.001622785
41.7	1.433929	4.859293	0	0.001334483
41.8	1.433926	4.859266	0	0.0008107254
41.9	1.433916	4.859242	0	0.000791163
42	1.433925	4.859215	0	0.0008181781
42.1	1.433924	4.859192	0	0.001039219
42.2	1.433924	4.859172	0	0.00144553
42.3	1.433925	4.859162	0	0.001218753
42.4	1.433922	4.859144	0	0.000915165
42.5	1.433926	4.859122	0	0.001002119
42.6	1.433922	4.859092	0	0.001027168
42.7	1.433921	4.859071	0	0.001036059
42.8	1.433923	4.859046	0	0.001056706
42.9	1.433925	4.859022	0	0.001224024
43	1.433923	4.859004	0	0.001292846
43.1	1.43392	4.858983	0	0.001213168
43.2	1.433924	4.858967	0	0.0009845501
43.3	1.433923	4.858948	0	0.0009462098
43.4	1.433917	4.858925	0	0.001133731
43.5	1.433921	4.858899	0	0.001204201
43.6	1.433922	4.858872	0	0.001421474
43.7	1.433923	4.858848	0	0.001322565
43.8	1.433918	4.858834	0	0.001322382
43.9	1.43392	4.85881	0	0.0009986446
44	1.433922	4.858789	0	0.0009275691
44.1	1.433918	4.858768	0	0.0009583681
44.2	1.433917	4.858747	0	0.001035697
44.3	1.433915	4.858724	0	0.001097247
44.4	1.433916	4.858699	0	0.001117393
44.5	1.433915	4.858682	0	0.001199328
44.6	1.43392	4.858662	0	0.001257747
44.7	1.433917	4.858642	0	0.001122379
44.8	1.433917	4.858619	0	0.001319968
44.9	1.433919	4.858596	0	0.00120343
45	1.433917	4.858573	0	0.0006749436
45.1	1.433914	4.858558	0	0.0006938661
45.2	1.433915	4.858531	0	0.0008173238
45.3	1.433918	4.858506	0	0.0006742749
45.4	1.433915	4.858484	0	0.0007367221
45.5	1.433915	4.858461	0	0.001115095
45.6	1.433918	4.858443	0	0.001019273
45.7	1.433912	4.858426	0	0.001016888
45.8	1.433913	4.858406	0	0.0007819773
45.9	1.433915	4.858378	0	0.0006434374
46	1.433913	4.858356	0	0.0005528994
46.1	1.43391	4.858338	0	0.001032477
46.2	1.433912	4.858317	0	0.001186412
46.3	1.433914	4.858296	0	0.001304978
